wikidata_iri,name,depth,wikipedia_page_id,wikipedia_url
wd:Q1194763,2D computer graphics,4,35248,https://en.wikipedia.org/?curid=35248
wd:Q231218,Abiogenesis,4,19179706,https://en.wikipedia.org/?curid=19179706
wd:Q1987782,Abnormal psychology,4,238212,https://en.wikipedia.org/?curid=238212
wd:Q47280,Abrahamic religions,4,13906453,https://en.wikipedia.org/?curid=13906453
wd:Q159943,Abstract algebra,4,19616384,https://en.wikipedia.org/?curid=19616384
wd:Q11862829,Academic discipline,0,14924067,https://en.wikipedia.org/?curid=14924067
wd:Q228502,Access control,4,40684,https://en.wikipedia.org/?curid=40684
wd:Q4116214,Accounting,3,2593,https://en.wikipedia.org/?curid=2593
wd:Q859044,Acoustical engineering,3,299813,https://en.wikipedia.org/?curid=299813
wd:Q304618,Active transport,4,144602,https://en.wikipedia.org/?curid=144602
wd:Q3526722,Additive number theory,4,4460333,https://en.wikipedia.org/?curid=4460333
wd:Q171251,Administrative law,4,2560,https://en.wikipedia.org/?curid=2560
wd:Q1319035,Adult education,4,214737,https://en.wikipedia.org/?curid=214737
wd:Q381331,Aeroacoustics,4,2518272,https://en.wikipedia.org/?curid=2518272
wd:Q8424,Aerodynamics,4,2819,https://en.wikipedia.org/?curid=2819
wd:Q16360,Aeronomy,4,2138223,https://en.wikipedia.org/?curid=2138223
wd:Q3798668,Aerospace engineering,3,21732545,https://en.wikipedia.org/?curid=21732545
wd:Q936518,Aerospace manufacturer,4,79610,https://en.wikipedia.org/?curid=79610
wd:Q1143012,Aesthetic taste,4,1974810,https://en.wikipedia.org/?curid=1974810
wd:Q35986,Aesthetics,3,2130,https://en.wikipedia.org/?curid=2130
wd:Q382520,Affine geometry,4,243890,https://en.wikipedia.org/?curid=243890
wd:Q332154,Ageing,4,16413778,https://en.wikipedia.org/?curid=16413778
wd:Q396340,Agricultural economics,4,733141,https://en.wikipedia.org/?curid=733141
wd:Q3606845,Agricultural science,2,572,https://en.wikipedia.org/?curid=572
wd:Q11451,Agriculture,3,627,https://en.wikipedia.org/?curid=627
wd:Q396338,Agroecology,4,216211,https://en.wikipedia.org/?curid=216211
wd:Q173113,Agronomy,4,186725,https://en.wikipedia.org/?curid=186725
wd:Q173725,Air conditioning,4,7221088,https://en.wikipedia.org/?curid=7221088
wd:Q131123,Air pollution,4,10934212,https://en.wikipedia.org/?curid=10934212
wd:Q221395,Air traffic control,4,48563,https://en.wikipedia.org/?curid=48563
wd:Q4698540,Aircraft design process,4,29564581,https://en.wikipedia.org/?curid=29564581
wd:Q1464672,Algaculture,4,4174517,https://en.wikipedia.org/?curid=4174517
wd:Q3968,Algebra,3,18716923,https://en.wikipedia.org/?curid=18716923
wd:Q180969,Algebraic geometry,4,1997,https://en.wikipedia.org/?curid=1997
wd:Q1005222,Algebraic logic,4,7870034,https://en.wikipedia.org/?curid=7870034
wd:Q613048,Algebraic number theory,4,174705,https://en.wikipedia.org/?curid=174705
wd:Q4724018,Algebraic statistics,4,17314682,https://en.wikipedia.org/?curid=17314682
wd:Q212803,Algebraic topology,4,38801,https://en.wikipedia.org/?curid=38801
wd:Q8366,Algorithm,3,775,https://en.wikipedia.org/?curid=775
wd:Q623221,Algorithmic game theory,4,16334749,https://en.wikipedia.org/?curid=16334749
wd:Q1757543,Algorithmic information theory,4,2829647,https://en.wikipedia.org/?curid=2829647
wd:Q13636890,Algorithmics,4,99861,https://en.wikipedia.org/?curid=99861
wd:Q37756,Alloy,4,1187,https://en.wikipedia.org/?curid=1187
wd:Q1077952,Alternative fuel,4,626455,https://en.wikipedia.org/?curid=626455
wd:Q2328303,Analog signal processing,4,405746,https://en.wikipedia.org/?curid=405746
wd:Q174925,Analogue electronics,4,1665281,https://en.wikipedia.org/?curid=1665281
wd:Q333464,Analysis of algorithms,4,2230,https://en.wikipedia.org/?curid=2230
wd:Q10843274,Analytic number theory,4,251513,https://en.wikipedia.org/?curid=251513
wd:Q2346,Analytical chemistry,3,2408,https://en.wikipedia.org/?curid=2408
wd:Q6199,Anarchism,4,12,https://en.wikipedia.org/?curid=12
wd:Q514,Anatomy,3,674,https://en.wikipedia.org/?curid=674
